,Mã khách hàng,Total Days
931,CUZ00932,0.0
932,CUZ00933,0.0
933,CUZ00934,0.0
934,CUZ00935,0.0
935,CUZ00936,0.0
936,CUZ00937,0.0
937,CUZ00938,0.0
938,CUZ00939,0.0
939,CUZ00940,0.0
940,CUZ00941,163.0
941,CUZ00942,0.0
942,CUZ00943,0.0
943,CUZ00944,117.0
944,CUZ00945,0.0
945,CUZ00946,0.0
946,CUZ00947,0.0
947,CUZ00948,0.0
948,CUZ00949,0.0
949,CUZ00950,0.0
950,CUZ00951,0.0
951,CUZ00952,0.0
952,CUZ00953,0.0
953,CUZ00954,0.0
954,CUZ00955,0.0
955,CUZ00956,0.0
956,CUZ00957,0.0
957,CUZ00958,0.0
958,CUZ00959,0.0
959,CUZ00960,0.0
960,CUZ00961,0.0
961,CUZ00962,0.0
962,CUZ00963,0.0
963,CUZ00964,0.0
964,CUZ00965,0.0
965,CUZ00966,0.0
966,CUZ00967,182.0
967,CUZ00968,0.0
968,CUZ00969,80.0
969,CUZ00970,0.0
970,CUZ00971,0.0
971,CUZ00972,211.0
972,CUZ00973,0.0
973,CUZ00974,0.0
974,CUZ00975,230.0
975,CUZ00976,60.0
976,CUZ00977,0.0
977,CUZ00978,0.0
978,CUZ00979,146.0
979,CUZ00980,68.0
980,CUZ00981,0.0
981,CUZ00982,0.0
982,CUZ00983,44.0
983,CUZ00984,56.0
984,CUZ00985,0.0
985,CUZ00986,220.0
986,CUZ00987,0.0
987,CUZ00988,0.0
988,CUZ00989,0.0
989,CUZ00990,0.0
990,CUZ00991,0.0
991,CUZ00992,247.0
992,CUZ00993,226.0
993,CUZ00994,104.0
994,CUZ00995,0.0
995,CUZ00996,0.0
996,CUZ00997,0.0
997,CUZ00998,0.0
998,CUZ00999,0.0
999,CUZ01000,0.0
1000,CUZ01001,0.0
1001,CUZ01002,0.0
1002,CUZ01003,0.0
1003,CUZ01004,0.0
1004,CUZ01005,0.0
1005,CUZ01006,0.0
1006,CUZ01007,0.0
1007,CUZ01008,0.0
1008,CUZ01009,139.0
1009,CUZ01010,63.0
1010,CUZ01011,0.0
1011,CUZ01012,0.0
1012,CUZ01013,0.0
1013,CUZ01014,0.0
1014,CUZ01015,0.0
1015,CUZ01016,0.0
1016,CUZ01017,0.0
1017,CUZ01018,0.0
1018,CUZ01019,0.0
1019,CUZ01020,0.0
1020,CUZ01021,0.0
1021,CUZ01022,0.0
1022,CUZ01023,0.0
1023,CUZ01024,0.0
1024,CUZ01025,197.0
1025,CUZ01026,0.0
1026,CUZ01027,0.0
1027,CUZ01028,0.0
1028,CUZ01029,0.0
1029,CUZ01030,29.0
1030,CUZ01031,0.0
1031,CUZ01032,126.0
1032,CUZ01033,141.0
1033,CUZ01034,0.0
1034,CUZ01035,0.0
1035,CUZ01036,0.0
1036,CUZ01037,0.0
1037,CUZ01038,0.0
1038,CUZ01039,0.0
1039,CUZ01040,0.0
1040,CUZ01041,0.0
1041,CUZ01042,0.0
1042,CUZ01043,190.0
1043,CUZ01044,215.0
1044,CUZ01045,0.0
1045,CUZ01046,0.0
1046,CUZ01047,0.0
1047,CUZ01048,0.0
1048,CUZ01049,0.0
1049,CUZ01050,0.0
1050,CUZ01051,0.0
1051,CUZ01052,0.0
1052,CUZ01053,0.0
1053,CUZ01054,0.0
1054,CUZ01055,0.0
1055,CUZ01056,0.0
1056,CUZ01057,0.0
1057,CUZ01058,0.0
1058,CUZ01059,0.0
